"beta1","beta2","erreur"
0.333333,0.900000,0.932296
0.333333,0.933333,1.080850
0.333333,0.966667,1.209703
0.333333,1.000000,1.322145
0.333333,1.033333,1.421052
0.333333,1.066667,1.508582
0.333333,1.100000,1.585920
0.333333,1.133333,1.653440
0.333333,1.166667,1.711206
0.333333,1.200000,1.759445
0.400000,0.900000,0.725199
0.400000,0.933333,0.901924
0.400000,0.966667,1.054570
0.400000,1.000000,1.186861
0.400000,1.033333,1.302148
0.400000,1.066667,1.403405
0.400000,1.100000,1.492951
0.400000,1.133333,1.572155
0.400000,1.166667,1.641511
0.400000,1.200000,1.701100
0.466667,0.900000,0.519154
0.466667,0.933333,0.724399
0.466667,0.966667,0.901234
0.466667,1.000000,1.053974
0.466667,1.033333,1.186343
0.466667,1.066667,1.301695
0.466667,1.100000,1.403005
0.466667,1.133333,1.492597
0.466667,1.166667,1.571842
0.466667,1.200000,1.641240
0.533333,0.900000,0.313372
0.533333,0.933333,0.547642
0.533333,0.966667,0.748917
0.533333,1.000000,0.922388
0.533333,1.033333,1.072276
0.533333,1.066667,1.202248
0.533333,1.100000,1.315614
0.533333,1.133333,1.415287
0.533333,1.166667,1.503476
0.533333,1.200000,1.581426
0.600000,0.900000,0.107106
0.600000,0.933333,0.371161
0.600000,0.966667,0.597214
0.600000,1.000000,0.791601
0.600000,1.033333,0.959232
0.600000,1.066667,1.104173
0.600000,1.100000,1.229997
0.600000,1.133333,1.339937
0.600000,1.166667,1.436773
0.600000,1.200000,1.522504
0.666667,0.900000,0.102243
0.666667,0.933333,0.194437
0.666667,0.966667,0.445816
0.666667,1.000000,0.661335
0.666667,1.033333,0.846852
0.666667,1.066667,1.006957
0.666667,1.100000,1.145535
0.666667,1.133333,1.266045
0.666667,1.166667,1.371606
0.666667,1.200000,1.464789
0.733333,0.900000,0.313416
0.733333,0.933333,0.018947
0.733333,0.966667,0.294402
0.733333,1.000000,0.531387
0.733333,1.033333,0.734928
0.733333,1.066667,0.910318
0.733333,1.100000,1.061832
0.733333,1.133333,1.193171
0.733333,1.166667,1.307669
0.733333,1.200000,1.408275
0.800000,0.900000,0.529037
0.800000,0.933333,0.163501
0.800000,0.966667,0.142654
0.800000,1.000000,0.401564
0.800000,1.033333,0.623319
0.800000,1.066667,0.814090
0.800000,1.100000,0.978654
0.800000,1.133333,1.120998
0.800000,1.166667,1.244651
0.800000,1.200000,1.352801
0.866667,0.900000,0.749806
0.866667,0.933333,0.345456
0.866667,0.966667,0.013957
0.866667,1.000000,0.271655
0.866667,1.033333,0.511903
0.866667,1.066667,0.718163
0.866667,1.100000,0.895856
0.866667,1.133333,1.049322
0.866667,1.166667,1.182303
0.866667,1.200000,1.298161
0.933333,0.900000,0.976375
0.933333,0.933333,0.530711
0.933333,0.966667,0.164875
0.933333,1.000000,0.141464
0.933333,1.033333,0.400556
0.933333,1.066667,0.622454
0.933333,1.100000,0.813345
0.933333,1.133333,0.978011
0.933333,1.166667,1.120441
0.933333,1.200000,1.244166
1.000000,0.900000,1.209173
1.000000,0.933333,0.719761
1.000000,0.966667,0.320775
1.000000,1.000000,0.013583
1.000000,1.033333,0.289144
1.000000,1.066667,0.526887
1.000000,1.100000,0.731056
1.000000,1.133333,0.906978
1.000000,1.166667,1.058943
1.000000,1.200000,1.190660
1.066667,0.900000,1.448436
1.066667,0.933333,0.913025
1.066667,0.966667,0.479049
1.066667,1.000000,0.122090
1.066667,1.033333,0.177532
1.066667,1.066667,0.431382
1.066667,1.100000,0.648934
1.066667,1.133333,0.836164
1.066667,1.166667,0.997723
1.066667,1.200000,1.137527
1.133333,0.900000,1.694249
1.133333,0.933333,1.110804
1.133333,0.966667,0.640015
1.133333,1.000000,0.255137
1.133333,1.033333,0.065779
1.133333,1.066667,0.335857
1.133333,1.100000,0.566932
1.133333,1.133333,0.765525
1.133333,1.166667,0.936723
1.133333,1.200000,1.084683
1.200000,0.900000,1.946598
1.200000,0.933333,1.313285
1.200000,0.966667,0.803964
1.200000,1.000000,0.389860
1.200000,1.033333,0.048320
1.200000,1.066667,0.240223
1.200000,1.100000,0.485000
1.200000,1.133333,0.695025
1.200000,1.166667,0.875900
1.200000,1.200000,1.032066
1.266667,0.900000,2.205403
1.266667,0.933333,1.520563
1.266667,0.966667,0.971123
1.266667,1.000000,0.526426
1.266667,1.033333,0.161307
1.266667,1.066667,0.144409
1.266667,1.100000,0.403089
1.266667,1.133333,0.624632
1.266667,1.166667,0.815222
1.266667,1.200000,0.979632
1.333333,0.900000,2.470547
1.333333,0.933333,1.732664
1.333333,0.966667,1.141655
1.333333,1.000000,0.665040
1.333333,1.033333,0.275749
1.333333,1.066667,0.048632
1.333333,1.100000,0.321142
1.333333,1.133333,0.554316
1.333333,1.166667,0.754665
1.333333,1.200000,0.927350
